id,Chistes
2007,¿Por qué la gallina cruzo la calle?: Para estar del otro lado
2008,Sabes por qué los hospitales tienen refrigeración? Para mantener frescos a los vegetales
2009,Cual es la fruta más chistosa? La naranjajajaja xddxdddxddd
2010,Cuanta leche da la vaca en su vida? La misma que de bajada
2011,when estornudas: A CHU
2012,Sabes con que perdió un bebé boxeador? Con qué So Bas está
2013,*empiezo a exponer* mis compas al toque: BUUUUUUU
2014,Sabes que es lo peor de comerse un reloj. Comerse el tiempo
2015,Sabes cuál es el país que ríe y explota? JaPON
2016,Di gris Malty Gris Te metí la lombriz
2017,creo que estoy estreñido me voy a ir a estados aver Chicago
2018,"no estoy de humor, solo quiero una novia coja entre mas coja mejor"
2019,Que es Messi en 45 días? Mess y Medio
2020,Saben porque mi teléfono no reconoce el lenguaje inclusivo? Por? Porque es un teléfono inteligente
2021,Yo cada vez que veo un mal meme: BUU MEME DE MIERDA
2022,"Aquí mi intento: -Oiga, quiero comprar una PC no acuática - ¿Cómo que PC no acuática? - Sin navegador"
2023,Vi un otaku triste y lo anime
2024,Me dicen el piano embrujado porque en las noches me toco solo
2025,Mi papá: Feo pero sociable Mi mamá: Bonita pero timida Yo: Lleno de microplásticos
2026,Porque la niña se murió cuando hiba al cine? Porque no vio el trailer cffff
2027,Sabes la definición de autodestrucción? Un leproso con epilepsia
2028,Cuando tu solo eres furra y a ti casi te desinstalan de la faz de la tierra: Oye no seas grosero
2029,"""No encuentro mi gato"" Yo: *llora por desesperación* Mi gato: busco sexo"
2030,Cuál es el helado favorito de Darth Vader: Helado oscuro
2031,"Mondongo, es lo último en guionazos"
2032,Que le dijo un barco a una pera….. No se XDXDXD
2033,Dua Lipa cuando se sorprende Dua Flipa
2034,"Un soldado borracho: hola mi general El comandante general? Acado no ves las estrellas? El soldado: perdón, mi cielo"
2035,"""Un pajarito me contó que te no estás estudiando"" Pero si tu te estás drogando que haces hablando con pajaritos xdxdxd"
2036,Ska cha cha Ceviche
2037,¿qué le dice una pared a otra? ¿Que? Nada las paredes no hablan
2038,A mi primo le dicen el lego porque lo dejaron en partes cuando lo secuestraron
2039,"Había una vez un perrito llamado pegamento, un día se cayó y se pego"
2040,Que le dijo un negro a otro negro? Nada ya que no tienen el derecho
2041,"Si una puerta hace ruido en china, es rechina o redeaqui?"
2042,"Sabías que 1 de cada 3 personas es fea? Yo no soy feo, yo tampoco, tiene que ser 1 de 4, Luigi eres feo de cojones"
2043,"No se les dice Batman, Robin se les dice HUERFANOS JAJAJAJ *Le pregunta a Batman* te gustó el chiste? No. Tampoco a tus papás XDDDDD"
2044,"Así es jefa, yo hago el ASMR AAAAAAAAAA SU PUTA MADRE REPROBE SEIS MATERIAS"
2045,"Hola cabrones hoy les voy a contar un chiste que me contó mi cuñado mientras nos tomabamos unas Fue en una época donde en la escurla se ponía de moda una canción sobre una vaca muy lechera y los alumnos la cantaban En una clase la maestra le pregunta a Jaimito ¿Quién descubrió América? Un compañero le susurraba al oído ""Colón Colón"" y Jaimito dice ""Ah sí, la vaca lechera"""
2046,Como se dice vendedor de puertas en inglés? Vendedoor
2047,como me siento luego de haber esquivado un navajazo (me estaban operando)
2048,"Sabes porque los japoneses no le gustan los aviones, porque piensan que tiene una bomba"
2049,Un vato bien despierto: No puedo dormir que pedo
2050,"Polvito que te hace decir ""por los dioses antiguos"": Por los dioses antiguos"
2051,Mato gente como en GTA V pero en la vida real
2052,"Nicolás Maduro agarra al señor elon mott, mientras tanto Elon Musk:"
2053,Hola cabrones hoy les voy a contar un chiste que me contó mi cuñado mientras nos tomabamos unas Fue en una época donde en la escurla se ponía de moda una canción sobre una vaca muy lechera y los alumnos la cantaban En una clase la maestra le pregunta a Ja
2054,"Había una vez un padre y una madre que tuvieron a un hijo discapacitado llamado Chueco. Un día, el padre y la madre iban a tener relaciones y el niño entró a la habitación, el padre se dió cuenta y le dijó a la madre ""¡Entró Chueco, entró Chueco!"" Y la madre dijó ""No, entró bien"""
2055,When: te sacan una pistola pero tú les avientas la Nintendo Switch corriendo Mortal Kombat 1 Skipdoosh xdxdxdxd
2056,-Abuelo ¿Porque estas frente al computador con los ojos cerrados? -Es que Google me dijo que cerrará las pestañas
2057,Batman si estuviera parado encima de un edificio mientras llueve con una luna muy grande detrás de él
2058,Cómo se llama un señor en silla de ruedas saliendo de un edificio en llamas? Un hotwheels.
2059,"Va un peruano y se encuentra con otra peruana y este le pregunta ""Oye está Felipe"" ""No estoy triste pe"""
2060,Hoy no hay memes banda…. Ando triste
