Chistes,id
¿Por qué la gallina cruzo la calle?: Para estar del otro lado,2007
Sabes por qué los hospitales tienen refrigeración? Para mantener frescos a los vegetales,2008
Cual es la fruta más chistosa? La naranjajajaja xddxdddxddd,2009
Cuanta leche da la vaca en su vida? La misma que de bajada,2010
when estornudas: A CHU,2011
Sabes con que perdió un bebé boxeador? Con qué So Bas está,2012
*empiezo a exponer* mis compas al toque: BUUUUUUU,2013
Sabes que es lo peor de comerse un reloj. Comerse el tiempo,2014
Sabes cuál es el país que ríe y explota? JaPON,2015
Di gris Malty Gris Te metí la lombriz,2016
creo que estoy estreñido me voy a ir a estados aver Chicago,2017
"no estoy de humor, solo quiero una novia coja entre mas coja mejor",2018
Que es Messi en 45 días? Mess y Medio,2019
Saben porque mi teléfono no reconoce el lenguaje inclusivo? Por? Porque es un teléfono inteligente,2020
Yo cada vez que veo un mal meme: BUU MEME DE MIERDA,2021
"Aquí mi intento: -Oiga, quiero comprar una PC no acuática - ¿Cómo que PC no acuática? - Sin navegador",2022
Vi un otaku triste y lo anime,2023
Me dicen el piano embrujado porque en las noches me toco solo,2024
Mi papá: Feo pero sociable Mi mamá: Bonita pero timida Yo: Lleno de microplásticos,2025
Porque la niña se murió cuando hiba al cine? Porque no vio el trailer cffff,2026
Sabes la definición de autodestrucción? Un leproso con epilepsia,2027
Cuando tu solo eres furra y a ti casi te desinstalan de la faz de la tierra: Oye no seas grosero,2028
"""No encuentro mi gato"" Yo: *llora por desesperación* Mi gato: busco sexo",2029
Cuál es el helado favorito de Darth Vader: Helado oscuro,2030
"Mondongo, es lo último en guionazos",2031
Que le dijo un barco a una pera….. No se XDXDXD,2032
Dua Lipa cuando se sorprende Dua Flipa,2033
"Un soldado borracho: hola mi general El comandante general? Acado no ves las estrellas? El soldado: perdón, mi cielo",2034
"""Un pajarito me contó que te no estás estudiando"" Pero si tu te estás drogando que haces hablando con pajaritos xdxdxd",2035
Ska cha cha Ceviche,2036
¿qué le dice una pared a otra? ¿Que? Nada las paredes no hablan,2037
A mi primo le dicen el lego porque lo dejaron en partes cuando lo secuestraron,2038
"Había una vez un perrito llamado pegamento, un día se cayó y se pego",2039
Que le dijo un negro a otro negro? Nada ya que no tienen el derecho,2040
"Si una puerta hace ruido en china, es rechina o redeaqui?",2041
"Sabías que 1 de cada 3 personas es fea? Yo no soy feo, yo tampoco, tiene que ser 1 de 4, Luigi eres feo de cojones",2042
"No se les dice Batman, Robin se les dice HUERFANOS JAJAJAJ *Le pregunta a Batman* te gustó el chiste? No. Tampoco a tus papás XDDDDD",2043
"Así es jefa, yo hago el ASMR AAAAAAAAAA SU PUTA MADRE REPROBE SEIS MATERIAS",2044
"Hola cabrones hoy les voy a contar un chiste que me contó mi cuñado mientras nos tomabamos unas Fue en una época donde en la escurla se ponía de moda una canción sobre una vaca muy lechera y los alumnos la cantaban En una clase la maestra le pregunta a Jaimito ¿Quién descubrió América? Un compañero le susurraba al oído ""Colón Colón"" y Jaimito dice ""Ah sí, la vaca lechera""",2045
Como se dice vendedor de puertas en inglés? Vendedoor,2046
como me siento luego de haber esquivado un navajazo (me estaban operando),2047
"Sabes porque los japoneses no le gustan los aviones, porque piensan que tiene una bomba",2048
Un vato bien despierto: No puedo dormir que pedo,2049
"Polvito que te hace decir ""por los dioses antiguos"": Por los dioses antiguos",2050
Mato gente como en GTA V pero en la vida real,2051
"Nicolás Maduro agarra al señor elon mott, mientras tanto Elon Musk:",2052
Hola cabrones hoy les voy a contar un chiste que me contó mi cuñado mientras nos tomabamos unas Fue en una época donde en la escurla se ponía de moda una canción sobre una vaca muy lechera y los alumnos la cantaban En una clase la maestra le pregunta a Ja,2053
"Había una vez un padre y una madre que tuvieron a un hijo discapacitado llamado Chueco. Un día, el padre y la madre iban a tener relaciones y el niño entró a la habitación, el padre se dió cuenta y le dijó a la madre ""¡Entró Chueco, entró Chueco!"" Y la madre dijó ""No, entró bien""",2054
When: te sacan una pistola pero tú les avientas la Nintendo Switch corriendo Mortal Kombat 1 Skipdoosh xdxdxdxd,2055
-Abuelo ¿Porque estas frente al computador con los ojos cerrados? -Es que Google me dijo que cerrará las pestañas,2056
Batman si estuviera parado encima de un edificio mientras llueve con una luna muy grande detrás de él,2057
Cómo se llama un señor en silla de ruedas saliendo de un edificio en llamas? Un hotwheels.,2058
"Va un peruano y se encuentra con otra peruana y este le pregunta ""Oye está Felipe"" ""No estoy triste pe""",2059
Hoy no hay memes banda…. Ando triste,2060
Porqué estados unidos es malo en el ajedrez? Porque le faltan dos torres,2061
When te pica un huevo Maldito huevo,2062
Por qué reino unido no puede jugar ajedrez? Porque perdieron a la reina,2063
"Mi bisabuela fue inmigrante de Rusia, como no tenía mucho puso un puesto de paja para ganado el cual tuvo éxito. Por eso le conocían como la reina de la paja rusa.",2064
Que le dice un molusco a otro molusco? Como-luzco?,2065
Que tienen en comun una pizza quemada y una embarazada? Que alguien no la saco a tiempo.,2066
"Querido terricola: soy un extraterrestre de una galaxia muy lejana donde podemos adoptar cualquier forma, en estos momentos me he convertido en este mensaje y a través de tus pupilas, te estoy metiendo un dedo en el culo, se que te está gustando porque est-as sonriendo, Porfis enviame a otras personas porque en verdad ando buscando más culos. Y deja de reírte que se van a dar cuenta.",2067
PAPA PAPA deja de tirarme guacamole por la cabeza CALLATE NACHO,2068
Viene la policía y mata a una persona. Quién es el malo??? El chiste,2069
Bebe repeat after me: Podemos no podemos,2070
El niño de la calle hipnotizandome para que lo atropelle mientras busca su pelota,2071
"No se usa más papel Emma, *se usa el Ipad para limpiar el papel higiénico*",2072
Si el temach estuviera lavando y ve que empieza a llover: noooo mi ropa,2073
Así que eres jugador de Brawl Stars: Aver dime 7 mejores formas de chupar pitos,2074
Un sordo gana una subasta y dice: GANE pero a que costo,2075
Un padre religioso crea un juego sobre castores: un random diciendo que parecen animatrónicos,2076
¿Qué está al final de todo? La letra o,2077
Que le dice un gusano a otro? Voy a dar una vuelta a la manzana,2078
Correee que vienen,2079
Sabes cómo conquistar a una buena judía? Estás que arde-,2080
"Piso una tumba del cementerio, el fan de madness combat: Mi pueblo no se toca",2081
Sabes por qué un comediante fue al gym? Para hacer chistes fuertes,2082
Van dos y se cae el del medio,2083
"Comida culera, pizzas culeras, la que atiende tiene mala cara, se tardan de a montón, pero las películas están bien chidas",2084
Que tienen en común pizza tower a un avión En que los dos tienen que destruir a una torre,2085
"Qué haces después de abusar a un mudo, le cortas las manos para que no se lo diga nadie",2086
Saben cuál es el colmo de un agricultor? Tener a un hijo en estado vegetal,2087
como llama un vaquero a su hija? HIIIIIIJAAAAAAAAAA,2088
en qué se diferencian un cuadro de Jesucristo y Jesucristo? Que al cuadro se le puede colgar de un solo clavo,2089
Qué es rojo y malo para los dientes? Un ladrillo,2090
"Hay dos paquetes de Cheetos, uno le dice al otro Tío vamos a meternos en un camión de cheetos que hay ahí parado, el otro le dice no macho es mala idea, y le responde que no tu tranquilo se meten, y una vez ahí se comen al que dió la idea de ir, y el otro dice paquete-metes macho",2091
"Una pareja de casados estan hablando el hombre dijo: ""Quisiera tener otros dos niños con nosotros."" Ella dice: ¿Esos 2 que están ahi, que son? El dice: Eso son para el almuerzo y los otros 2 lo queria para la cena.",2092
Que tiene 50 piernas pero no camina? 25 discapacitados,2093
Ohana significa metanfetamina,2094
¿Qué tienen en común una piscina y el Titanic? Que ambos tardaron en llenarse,2095
Como se llama el sotano de Iron Man? Iron know,2096
Yo abono una planta La planta: me han abonado Yo después de ver que la planta habló: qué La planta: so,2097
"Llega un judío a la pizzería y pide dos familiares Y el vendedor le dice ""Están en el horno joven""",2098
Qué le tienes que dar a una persona para que pinte un cuarto en un segundo? Una granada,2099
"Un hombre frotó la lámpara y un genio salió de ella ""Te concederé tres deseos"" dijo el genio ""Mi primer deseo es que todas las palabras empiecen con fh"" ""Fheseo fhoncedido"" ""Fhi fhegundo fheseo fhes fhe fhodas fhas fhalabras fherminen fhor pshk"" ""Fheseophsk fhoncedidopshk""",2100
"Cuáles son las 5 partes blancas de un negro? Los pies, las manos, los dientes y el dueño",2101
-Sabes que le regalaron a una niña sin brazos -no se aún no lo abre,2102
A tu madre le disen bisagra oxidada por que la abres y se pone a chillar,2103
"Paso uno un poco funable y conocido pero que hizo reír a meta ai. Ahí va: A) Sabes porque la reina es la mejor pieza del ajedrez? B) No, porque es así? A) porque el tablero de ajedrez se parece al piso de la cocina B) jajajaja, entiendo, ya que pueden barrer las otras piezas",2104
Había un pollito que respiraba por el culo se sentó y se murió,2105
Iba a contar un chiste sobre huesos… pero ne,2106
Sabes por qué la Torre de Pisa está inclinada? Porque tuvo mejores reflejos que las Torres Gemelas.,2107
cual es la parte mas dura de un vegetal? la silla de ruedas,2108
"Argentina y México se llevan bien, Argentina y México: saltamuros, narizones",2109
Lo que me imagino cuando alguien dice que estudia arquitectura de software: Una casa de CPU,2110
"Qué le dice un huerfano a otro? Rápido Robin, subete al batimóvil",2111
Como haría tilin si fuera una campana? Tilin tilin,2112
cual es la planta que asusta? el bam buuuu,2113
-Como es un exorcismo a la inversa? -Cuando el diablo le pide al cura que salga dentro del niño.,2114
Como le gusta lá leche a un esqueleto? TIBIA,2115
wen la boca de tu amigo sabe a la brga de tu novia: deagraciado ,2116
¿Como se llama el campeón de buceo en Japón?: Tokofondo Y ¿el sub campeón?: Kasitoko,2117
Ah pero preguntenle la tabla del 7,2118
"¿En que se parecen los géneros a las torres gemelas? En que antes eran dos, pero ahora es un tema delicado",2119
Los del fondo se tocan,2120
"Había un hombre que entró a una tienda de antigüedadea y pregunta ""que hay de nuevo?"" Si no funcionó ahí va este Había un perro llamado 'pa dentro' Un día su dueño le dijo ""Pa fuera pa dentro"" El perro le entró confusión y explotó Fin",2121
Cariñosas y mécanicos se apretan las manos por cobrar caro por una mamada,2122
¿Sabes en qué se parece Jesús a mi papá? Que ambos prometieron volver y nunca lo hicieron.,2123
Cuando no ganaste ninguna medalla de Tiro porque los mejores tiradores están presos.,2124
Habían tres personas calvas en un barco el barco se empezó a undir y los tres murieron por cancer,2125
Cual es el colmo de un jardinero? Que le dejen plantado,2126
"Había una vez, pero ya no hay",2127
Muestra la foto de un zombie: Bolivia,2128
"Un loco llamado Antonio pidio una estufa por 150 dolares Llego el repartidor y le pidio 250 dolares Antonio dijo: Pero eso es una estafa El repartidor dijo: No, una estufa Chiste penca sacado de la basura xd",2129
"Había tres tartamudos en una moto El del medio: Ja Ja Ja Ja El que maneja: De de que t-te ríes El del medio: Ja Ja Ja Jaime, se cayó ha ha hace tr-tr-tres cuadras",2130
When estas vendiendo Deadpool 3: Mi PAPI reaction,2131
Le pongo +4 a mi compa Mi compa iraní con un c4 en la raja,2132
A ver si esto es de tu talla: incendia todo,2133
Sabéis a que se debe la oscuridad en el fondo del mar? Porque allí acaban todos los negros que no saben nadar.,2134
"Cuando se me cayó mi primer diente, se me cayeron 3 a la vez, la que conducía era mi madre.",2135
¿En qué se parecen Miguel Ángel y Kurt Cobain? En que los dos usaros sus cerebros para pintar el techo.,2136
"Quiero morir tranquilamente mientras duermo, como mi abuelo. No gritando, como los pasajeros de su autobús.",2137
Un niño de la calle se acerca a un coche que está parado en el semaforo y le dice al conductor! -Señor me regala para un vaso de leche y una rebanada de pastel? El conductor le responde pero niño siempre me piden una moneda o para un taco! Tu xq quieres para pastel y leche,2138
"Llega la mamá del Capi Pérez al doctor y pregunta: ""¿Doctor, ya me sacaron el tumor que tenía?"", A lo que el Doctor responde: ""Felicidades señora, no era un tumor, estaba embarazada y fué niño"".",2139
¿Por qué se suicidó Hitler? Porque le llegó la factura del gas.,2140
¿Cuantas mujeres se necesitan para empezar una marcha? Todas menos una,2141
P: ¿Qué pasa cuando un niño del Teletón fallece? R: Toman lo que le quedó bueno para refacciones.,2142
Todo eran risas hasta que descubrieron que el tartamudo quería jamón.,2143
"-Mamá, mamá!!! Mi hermanito se hizo caca. -Pues límpialo!!! -No mamá, se cayó de la azotea.",2144
"Mi novia, hablando de astronomía, me preguntó cómo mueren las estrellas. ""Normalmente por sobredosis"", le dije...",2145
¿Cuál es el suavizante de telas favorito de los del Teletón?. Downy,2146
"Había una vez un pollito que se llamaba resistol, un día se callo y un chaka lo inhalo jijija desu nyan",2147
- Como son las pruebas de embarazo en el África? Meten un bolillo a la mujer y depende si sale mordido o no!! - Como metes 50 judíos en un bocho? Para eso traen cenicero!!,2148
"Nunca lo van a sacar a caminar y el perro lo sabe, porque son dos gordos",2149
Por qué se cayó la niña del columpio?... ... Porque no tenía manos Y por qué no se levanto?...,2150
"Profesor: Cuál fue el objeto más vendido durante los 1800?, un negro levanta la mano, el profesor responde Correcto",2151
"Mamá, mamá ¿el abuelo es mecánico? No hijo, el abuelo no es mecánico ¿Entonces qué hace debajo del autobus?",2152
"En que se parecen los aguacates, a los niños sin hogar de la calle???? En que los dos maduran envueltos en periodico",2153
"Un maestro en la primaria llevo un platano y un preservativo para enseñarnos como se debe poner un condon. Saco el preservativo, y luego se empezó a comer el platano, porque dijo que con hambre nomas no se le paraba",2154
En qué se parece un cura y un juguete fisher price? Que ambos terminan en la boca de un bebé.,2155
Un niño llega con su mamá y le dice: Mamá ya se que voy a ser cuando sea grande! Y la mamá dice:tu no vas a ser nada por qué tienes cáncer!,2156
Ese humor come en KFC y rapea como NWA,2157
"En un avión el piloto anuncia que el avión se va a estrellar y no queda ninguna esperanza de salvarse. Entonces una pasajera grita,¿Hay alguien aquí lo suficientemente hombre que me haga sentir mujer por última ves?”Entonces un hombre se quita la camisa y le dice ten plancha esto",2158
Nunca entendí por qué en Pokémon los tipo insecto eran efectivos contra los tipo oscuro... Luego vi todos los africanos que mueren por piquetes de mosquito y tuvo sentido.,2159
Qué hacen 2 huérfanos en domino’s? Están pidiendo 2 familiares!,2160
Cuál es la diferencia entre una pizza y un judío? La pizza no llora cuando la metes al horno ;),2161
Mi capi ya lo está esperando...¿saben que país tiene a los mejores estudiantes? Estados Unidos...porque se matan estudiando.,2162
"Yo no tengo nada en contra de los negros, es más, si pudiera compraría uno",2163
En qué se parecen la vida y los pies?? Ninguno le dura a un diabético,2164
- Cómo reúnes a todos los niños del Teletón en el Zócalo? - Con un imán gigante.,2165
Que hace un leproso recargado en la pared ? Tirando rostro,2166
"Los chistes de humor negro son como los niños de los antivacunas, nunca se hacen viejos.",2167
En que se parece una capilla abandonada a un niño con cáncer?? Que los dos no tienen cura...,2168
"Dos compadres en un bar: - Que le vas a regalar a tu novia de San Valentin? - Un collar. - Que bonito, yo aun la llevo suelta.",2169
-A donde va un niño iraní que encuentra una bomba?? - a todas partes 😏,2170
¿Qué da más risa que un bebé muerto? -Un bebé muerto vestido de payaso.,2171
¿Qué es lo que un zombi no se come de un vegetal? La silla de ruedas 🤷🏾‍♂️😅🥇,2172
"Y como dijo Jenny Rivera: ""Te daría like pero no encuentro mi dedo""",2173
¿Que hacen 150 epilépticos en un antro? La fiesta de espuma.,2174
"Niño:""Mamá ¿Me puedo comer una galleta?"" Mamá:""Primero lávate las manos mi vida"" Niño:""Pero mami yo no tengo manos🥺"" Mamá:""No hay galletitas 🥸""",2175
