,Chistes,id
0,¿Por qué la gallina cruzo la calle?: Para estar del otro lado,2007
1,Sabes por qué los hospitales tienen refrigeración? Para mantener frescos a los vegetales,2008
2,Cual es la fruta más chistosa? La naranjajajaja xddxdddxddd,2009
3,Cuanta leche da la vaca en su vida? La misma que de bajada,2010
4,when estornudas: A CHU,2011
5,Sabes con que perdió un bebé boxeador? Con qué So Bas está,2012
6,*empiezo a exponer* mis compas al toque: BUUUUUUU,2013
7,Sabes que es lo peor de comerse un reloj. Comerse el tiempo,2014
8,Sabes cuál es el país que ríe y explota? JaPON,2015
9,Di gris Malty Gris Te metí la lombriz,2016
10,creo que estoy estreñido me voy a ir a estados aver Chicago,2017
11,"no estoy de humor, solo quiero una novia coja entre mas coja mejor",2018
12,Que es Messi en 45 días? Mess y Medio,2019
13,Saben porque mi teléfono no reconoce el lenguaje inclusivo? Por? Porque es un teléfono inteligente,2020
14,Yo cada vez que veo un mal meme: BUU MEME DE MIERDA,2021
15,"Aquí mi intento: -Oiga, quiero comprar una PC no acuática - ¿Cómo que PC no acuática? - Sin navegador",2022
16,Vi un otaku triste y lo anime,2023
17,Me dicen el piano embrujado porque en las noches me toco solo,2024
18,Mi papá: Feo pero sociable Mi mamá: Bonita pero timida Yo: Lleno de microplásticos,2025
19,Porque la niña se murió cuando hiba al cine? Porque no vio el trailer cffff,2026
20,Sabes la definición de autodestrucción? Un leproso con epilepsia,2027
21,Cuando tu solo eres furra y a ti casi te desinstalan de la faz de la tierra: Oye no seas grosero,2028
22,"""No encuentro mi gato"" Yo: *llora por desesperación* Mi gato: busco sexo",2029
23,Cuál es el helado favorito de Darth Vader: Helado oscuro,2030
24,"Mondongo, es lo último en guionazos",2031
25,Que le dijo un barco a una pera….. No se XDXDXD,2032
26,Dua Lipa cuando se sorprende Dua Flipa,2033
27,"Un soldado borracho: hola mi general El comandante general? Acado no ves las estrellas? El soldado: perdón, mi cielo",2034
28,"""Un pajarito me contó que te no estás estudiando"" Pero si tu te estás drogando que haces hablando con pajaritos xdxdxd",2035
29,Ska cha cha Ceviche,2036
30,¿qué le dice una pared a otra? ¿Que? Nada las paredes no hablan,2037
31,A mi primo le dicen el lego porque lo dejaron en partes cuando lo secuestraron,2038
32,"Había una vez un perrito llamado pegamento, un día se cayó y se pego",2039
33,Que le dijo un negro a otro negro? Nada ya que no tienen el derecho,2040
34,"Si una puerta hace ruido en china, es rechina o redeaqui?",2041
35,"Sabías que 1 de cada 3 personas es fea? Yo no soy feo, yo tampoco, tiene que ser 1 de 4, Luigi eres feo de cojones",2042
36,"No se les dice Batman, Robin se les dice HUERFANOS JAJAJAJ *Le pregunta a Batman* te gustó el chiste? No. Tampoco a tus papás XDDDDD",2043
37,"Así es jefa, yo hago el ASMR AAAAAAAAAA SU PUTA MADRE REPROBE SEIS MATERIAS",2044
38,"Hola cabrones hoy les voy a contar un chiste que me contó mi cuñado mientras nos tomabamos unas Fue en una época donde en la escurla se ponía de moda una canción sobre una vaca muy lechera y los alumnos la cantaban En una clase la maestra le pregunta a Jaimito ¿Quién descubrió América? Un compañero le susurraba al oído ""Colón Colón"" y Jaimito dice ""Ah sí, la vaca lechera""",2045
39,Como se dice vendedor de puertas en inglés? Vendedoor,2046
40,como me siento luego de haber esquivado un navajazo (me estaban operando),2047
41,"Sabes porque los japoneses no le gustan los aviones, porque piensan que tiene una bomba",2048
42,Un vato bien despierto: No puedo dormir que pedo,2049
43,"Polvito que te hace decir ""por los dioses antiguos"": Por los dioses antiguos",2050
44,Mato gente como en GTA V pero en la vida real,2051
45,"Nicolás Maduro agarra al señor elon mott, mientras tanto Elon Musk:",2052
46,Hola cabrones hoy les voy a contar un chiste que me contó mi cuñado mientras nos tomabamos unas Fue en una época donde en la escurla se ponía de moda una canción sobre una vaca muy lechera y los alumnos la cantaban En una clase la maestra le pregunta a Ja,2053
